player,team,position,games,wins,avg_kills,avg_deaths,avg_assists,avg_dpm,avg_cspm,avg_vision,winrate,kda,weighted_winrate,weighted_kda,primary_league,region
Viper,Hanwha Life Esports,bot,152,98,5.3618421052631575,2.0328947368421053,6.421052631578948,790.2132710526315,9.500867763157895,42.0328947368421,64.5,5.8,63.2,5.76,LCK,Korea
Someone,CITA Kaizen,mid,11,9,7.7272727272727275,2.6363636363636362,7.363636363636363,846.6160818181819,8.529390909090909,21.636363636363637,81.8,5.72,81.8,5.72,HC,Other
naau,Nocturne Gale,jng,46,34,5.434782608695652,2.630434782608696,9.58695652173913,517.8243347826086,6.565217391304348,32.69565217391305,73.9,5.71,73.9,5.71,CT,Other
Smiley,Vivo Keyd Stars Academy,bot,33,21,5.03030303030303,2.242424242424242,7.7272727272727275,755.4525606060606,9.03979090909091,35.24242424242424,63.6,5.69,63.6,5.69,CD,Latin America
HARPOON,Esprit Shōnen,bot,46,32,7.630434782608695,2.4782608695652173,6.456521739130435,794.9297304347826,9.704956521739131,35.19565217391305,69.6,5.68,69.6,5.68,LFL2,Europe
Skyy,inf,mid,11,8,4.454545454545454,2.5454545454545454,10.0,754.6575272727273,8.035145454545455,37.54545454545455,72.7,5.68,72.7,5.68,LRN,Other
Hwichan,T1 Esports Academy Rookies,mid,66,47,5.015151515151516,2.287878787878788,7.984848484848484,795.2661287878788,9.038301515151517,29.515151515151516,71.2,5.68,71.2,5.68,LAS,Latin America
DahVys,WLGaming Esports,jng,11,7,5.090909090909091,2.727272727272727,10.363636363636363,477.33170000000007,6.459272727272727,47.0,63.6,5.67,63.6,5.67,HLL,Europe
Bcan,ZennIT,mid,21,13,4.761904761904762,2.2857142857142856,8.19047619047619,727.9189142857142,7.640238095238095,23.333333333333332,61.9,5.67,61.9,5.67,ROL,Other
VirusFx,inf,bot,11,8,8.090909090909092,2.727272727272727,7.363636363636363,829.2749545454545,8.546827272727272,43.27272727272727,72.7,5.67,72.7,5.67,LRN,Other
