team,games,wins,avg_kills,avg_deaths,avg_dragons,avg_barons,avg_towers,avg_gamelength,winrate,weighted_winrate,primary_league,region
GiantX,57,27,13.614035087719298,13.578947368421053,2.1052631578947367,0.7368421052631579,6.140350877192983,33.8,47.4,47.4,LEC,Europe
wangting,58,27,22.448275862068964,22.75862068965517,2.0344827586206895,0.4482758620689655,5.620689655172414,29.9,46.6,47.3,PCS,Southeast Asia
Nongshim Esports Academy,105,49,14.59047619047619,15.40952380952381,2.1714285714285713,0.5333333333333333,5.847619047619047,32.8,46.7,47.1,LCKC,Korea
ULF Esports,85,39,15.552941176470588,17.470588235294116,2.152941176470588,0.5411764705882353,5.823529411764706,32.2,45.9,46.9,TCL,Europe
Beşiktaş Esports,60,28,15.683333333333334,15.1,2.2333333333333334,0.48333333333333334,6.0,33.8,46.7,46.9,TCL,Europe
Ramboot Club,49,23,16.346938775510203,16.6734693877551,2.204081632653061,0.42857142857142855,5.8979591836734695,32.4,46.9,46.9,LVP SL,Europe
GMBLERS Esports,62,29,15.419354838709678,16.096774193548388,2.338709677419355,0.45161290322580644,5.82258064516129,31.0,46.8,46.8,LIT,Europe
Saigon Secret,37,17,16.18918918918919,17.675675675675677,2.027027027027027,0.40540540540540543,5.648648648648648,30.8,45.9,46.8,VCS,Southeast Asia
LGD Gaming,79,38,14.734177215189874,15.594936708860759,2.2658227848101267,0.5189873417721519,5.531645569620253,32.0,48.1,46.8,LPL,China
GnG Amazigh,90,42,16.133333333333333,17.88888888888889,2.2111111111111112,0.5555555555555556,5.877777777777778,31.8,46.7,46.7,AL,Europe
Kaeru Gyuangu,15,7,18.266666666666666,20.0,2.1333333333333333,0.4666666666666667,5.866666666666666,33.6,46.7,46.7,LFL2,Europe
Tan'i eSports CZ,58,27,16.03448275862069,17.689655172413794,2.3793103448275863,0.43103448275862066,6.0344827586206895,31.9,46.6,46.6,HM,Europe
Weibo Gaming,160,74,14.74375,14.6625,2.19375,0.4875,5.73125,32.5,46.2,46.2,LPL,China
For The Win Esports,26,12,19.76923076923077,19.46153846153846,2.1923076923076925,0.5384615384615384,6.153846153846154,30.6,46.2,46.2,LPLOL,Other
Top Esports Challenger,13,6,17.307692307692307,16.846153846153847,2.1538461538461537,0.46153846153846156,5.384615384615385,29.3,46.2,46.2,Asia Master,Other
BNK FEARX,127,61,15.456692913385826,15.834645669291339,2.220472440944882,0.47244094488188976,5.84251968503937,31.3,48.0,46.1,LCK,Korea
Movistar KOI Fénix,50,23,15.16,14.5,1.94,0.54,6.1,33.0,46.0,46.0,LVP SL,Europe
GAM Esports,100,48,13.39,13.76,2.26,0.47,5.71,33.1,48.0,46.0,LCP,Southeast Asia
Bulldog Esports,46,21,18.043478260869566,18.782608695652176,2.0434782608695654,0.43478260869565216,5.586956521739131,33.4,45.7,45.7,NLC,Europe
Anyone's Legend.Young,11,5,17.90909090909091,16.363636363636363,1.5454545454545454,0.18181818181818182,5.090909090909091,28.5,45.5,45.5,Asia Master,Other
Guinea Pink,33,15,16.545454545454547,17.0,2.0,0.6060606060606061,6.2727272727272725,33.0,45.5,45.5,NEXO,Other
Keypulse Esports,22,10,17.90909090909091,17.09090909090909,2.3636363636363638,0.5909090909090909,5.863636363636363,31.8,45.5,45.5,LPLOL,Other
