champion,games,winrate,avg_kills,avg_deaths,avg_assists,kda
Lucian,977,0.5005117707267144,5.159672466734903,2.968270214943705,5.4820880245649946,3.585172413793104
Jarvan IV,957,0.5151515151515151,2.888192267502612,3.6551724137931036,11.31974921630094,3.8870783304745564
Trundle,948,0.5168776371308017,3.2246835443037973,2.99789029535865,8.713080168776372,3.9820548909218862
Naafiri,947,0.4952481520591341,4.6019007391763465,2.82259767687434,6.666314677930306,3.9921436588103254
Gnar,887,0.4983089064261556,2.8635851183765504,2.9334836527621193,5.146561443066516,2.730591852421215
Sylas,834,0.5155875299760192,4.110311750599521,3.3345323741007196,6.5155875299760195,3.186623516720604
Ashe,806,0.4838709677419355,4.094292803970223,3.1166253101736974,7.616625310173697,3.7575636942675157
Viego,799,0.47309136420525655,5.294117647058823,3.2816020025031287,6.043804755944931,3.454996186117468
Nocturne,786,0.4847328244274809,3.351145038167939,3.482188295165394,7.910941475826972,3.2341980270369017
Hwei,769,0.48764629388816644,3.8010403120936282,2.9570871261378415,7.344603381014304,3.769129287598944
Ornn,740,0.4486486486486487,1.6378378378378378,3.091891891891892,7.5,2.9554195804195804
Akali,725,0.48,5.493793103448276,3.2151724137931033,4.769655172413793,3.192192192192192
Bard,710,0.5309859154929577,1.1014084507042254,3.2704225352112677,11.574647887323943,3.875968992248062
Tristana,706,0.4745042492917847,5.189801699716714,3.1260623229461757,4.575070821529745,3.123697326687812
Renata Glasc,672,0.4955357142857143,0.6904761904761905,3.3541666666666665,11.15327380952381,3.531055900621118
Annie,670,0.5432835820895522,3.0686567164179106,3.3776119402985074,8.155223880597015,3.323022536456032
Yorick,647,0.4884080370942813,2.6321483771251932,3.1993817619783615,4.211746522411128,2.139130434782609
Karma,621,0.48792270531400966,0.9484702093397746,3.1288244766505637,10.436392914653783,3.6387030365414303
Yunara,616,0.5308441558441559,5.297077922077922,2.892857142857143,6.297077922077922,4.007856341189675
Jinx,615,0.4845528455284553,5.08130081300813,2.7756097560975608,5.741463414634146,3.899238429994142
Syndra,595,0.47058823529411764,4.4941176470588236,3.3176470588235296,5.816806722689075,3.1079027355623094
Kalista,575,0.5234782608695652,5.276521739130435,3.1356521739130434,5.3878260869565215,3.4009983361064893
